ID,Partner Name,,Region,Logo,FI Type
505801,Habib Bank Ltd,,Middle East and North Africa,,SME
506458,Kotak Mahindr...,,South Asia,,SME
510236,Finansbank A.S.,,Europe and Central Asia,,SME
511755,SBM Ltd,,Sub-Saharan Africa,,SME
512958,Vietinbank,,East Asia and the Pacific,,SME
513562,ADOPEM,,Latin America and the Caribbean,,MFI
513785,Sasfin,,Sub-Saharan Africa,,MFI
513802,CBC,,South Asia,,MFI
514454,ACBA Bank,,Europe and Central Asia,,MFI
514694,Bank Danamon,,East Asia and the Pacific,,SME
514916,IB,,East Asia and the Pacific,,SME
515814,RZB Russia,,Europe and Central Asia,,SME
517288,Platinum Bank,,Europe and Central Asia,,Non-MSME
517425,Accion Nigeria,,Sub-Saharan Africa,,MFI
517654,TriBanco,,Latin America and the Caribbean,,MFI
518265,Transilvaniabank,,Europe and Central Asia,,SME
518335,MAIB,,Europe and Central Asia,,SME
518615,Santander Brasil,,Latin America and the Caribbean,,SME
519495,La Hipotecaria,,Latin America and the Caribbean,,Non-MSME
519585,Credit Bk Moscow,,Europe and Central Asia,,SME
519779,Armeconombank,,Europe and Central Asia,,SME
519871,ICICI Bank,,South Asia,,SME
520581,BANCOLOMBIA I,,Latin America and the Caribbean,,SME
520681,Banco Agricola,,Latin America and the Caribbean,,SME
521422,Credit Bank Iraq,,Middle East and North Africa,,Non-MSME
524101,PBZ,,Europe and Central Asia,,SME
525051,Hangzhou RCB,,East Asia and the Pacific,,SME
530573,Centro Fin BHD,,Latin America and the Caribbean,,SME
531790,PCB Congo,,Sub-Saharan Africa,,MFI
532405,Seker Bank,,Europe and Central Asia,,MFI
532442,Bank of Beijing,,East Asia and the Pacific,,SME
532964,Absolut Bank,,Europe and Central Asia,,SME
532967,Eskhata Bank,,Europe and Central Asia,,MFI
533584,Continental Bank,,Europe and Central Asia,,SME
533751,Bank Alexandria,,Middle East and North Africa,,SME
534542,UniBank,,Europe and Central Asia,,MFI
534982,NCBJ,,Latin America and the Caribbean,,Non-MSME
535002,BBM,,Latin America and the Caribbean,,SME
535182,BCC,,Europe and Central Asia,,SME
535702,Ahli Bank SAOG,,Middle East and North Africa,,Non-MSME
536083,BanBif,,Latin America and the Caribbean,,SME
536369,Fora Bank,,Europe and Central Asia,,MFI
537022,Lok Fund,,South Asia,,MFI
539880,Tameer Bank,,Middle East and North Africa,,MFI
540389,Unicredit Bank,,Europe and Central Asia,,SME
541558,PNG MicroFinance,,East Asia and the Pacific,,MFI
541745,Locko,,Europe and Central Asia,,SME
541822,FONDEP,,Middle East and North Africa,,MFI
542526,WWB Popayan,,Latin America and the Caribbean,,MFI
544159,Promek,,Europe and Central Asia,,Non-MSME
545270,Nova Banka,,Europe and Central Asia,,SME
546311,Inecobank,,Europe and Central Asia,,SME
547271,Nedbank,,Sub-Saharan Africa,,SME
549618,BIC Banco,,Latin America and the Caribbean,,SME
553300,Access Bank,,Sub-Saharan Africa,,SME
555960,Banco del Bajio,,Latin America and the Caribbean,,SME
558759,Banco Patagonia,,Latin America and the Caribbean,,SME
559330,CL sal,,Middle East and North Africa,,MFI
560179,Respublika,,Europe and Central Asia,,MFI
560320,EMRC,,Middle East and North Africa,,Non-MSME
561703,Bank Beirut II,,Middle East and North Africa,,SME
562134,Stanbic Ghana,,Sub-Saharan Africa,,SME
562136,CfC Stanbic,,Sub-Saharan Africa,,MFI
562595,BoA Mali,,Sub-Saharan Africa,,SME
562997,B. Popular,,Latin America and the Caribbean,,MFI
